,deltaI score,deltaR score
Decision Tree spec points,0.9987984883479789,0.9994354754149963
Decision Tree peak info,0.9980384422413475,0.9988606977779755
Decision Tree spec points and peak info,0.9987932448714003,0.9994614647959134
Random Forest spec points,0.9998658851073824,0.9999449340583767
Random Forest peak info,0.9989243184604896,0.9990918262445347
Random Forest spec points and peak info,0.9998675421981896,0.9999426743885349
AdaBoost spec points,0.9998586505777768,0.9999764044685929
AdaBoost peak info,0.998055366075984,0.9991872103462647
AdaBoost spec points and peak info,0.9998945165993839,0.9999771515423814
Gradient Boosting spec points,0.9979156420943044,0.9981610401299301
Gradient Boosting peak info,0.9961010410801845,0.9972370444376423
Gradient Boosting spec points and peak info,0.9981619346944504,0.9979300896227344
Independent Random Forests spec points,0.9999139780424074,0.9999848685491766
Independent Random Forests peak info,0.9982109246708786,0.9992829538362599
Independent Random Forests spec points and peak info,0.999916155626175,0.9999828804123624
